0.00    -6.60  2.50   -3647.95784500
0.00    -6.60  2.90   -3648.21348220
0.00    -6.60  3.10   -3648.30462890
0.00    -6.60  3.30   -3648.37392290
0.00    -6.60  3.50   -3648.42411950
0.00    -6.60  3.70   -3648.45812760
0.00    -6.60  3.90   -3648.47874950
0.00    -6.60  4.10   -3648.49093730
0.00    -6.60  4.30   -3648.50006380
0.00    -6.60  4.50   -3648.50678120
0.00    -6.60  5.00   -3648.51603660
0.00    -6.60  5.50   -3648.51961200
0.00    -6.60  6.00   -3648.52066050
0.00    -6.60  6.50   -3648.52060940
0.00    -6.60  7.00   -3648.51999170
0.00    -6.60  7.50   -3648.51918360
0.00    -6.60  8.00   -3648.51829570
0.00    -6.60  8.50   -3648.51741280
0.00    -6.60  9.00   -3648.51662280
0.00    -6.60  10.00  -3648.51529730
0.00    -6.60  12.00  -3648.51350600
0.00    -6.60  15.00  -3648.51230910
0.00    -6.60  25.00  -3648.51172470
0.00    -6.60  35.00  -3648.51157080
0.00    -6.40  2.50   -3648.01399400
0.00    -6.40  2.90   -3648.23680760
0.00    -6.40  3.10   -3648.31772250
0.00    -6.40  3.30   -3648.38007580
0.00    -6.40  3.50   -3648.42592300
0.00    -6.40  3.70   -3648.45751920
0.00    -6.40  3.90   -3648.47710380
0.00    -6.40  4.10   -3648.48903050
0.00    -6.40  4.30   -3648.49797100
0.00    -6.40  4.50   -3648.50462550
0.00    -6.40  5.00   -3648.51402400
0.00    -6.40  5.50   -3648.51802490
0.00    -6.40  6.00   -3648.51949110
0.00    -6.40  6.50   -3648.51965400
0.00    -6.40  7.00   -3648.51942260
0.00    -6.40  7.50   -3648.51880920
0.00    -6.40  8.00   -3648.51802540
0.00    -6.40  8.50   -3648.51725830
0.00    -6.40  9.00   -3648.51654120
0.00    -6.40  10.00  -3648.51525930
0.00    -6.40  12.00  -3648.51349040
0.00    -6.40  15.00  -3648.51230260
0.00    -6.40  25.00  -3648.51172220
0.00    -6.40  35.00  -3648.51157170
0.00    -6.20  2.50   -3648.05823890
0.00    -6.20  2.90   -3648.25635910
0.00    -6.20  3.10   -3648.32946490
0.00    -6.20  3.30   -3648.38638220
0.00    -6.20  3.50   -3648.42864240
0.00    -6.20  3.70   -3648.45801960
0.00    -6.20  3.90   -3648.47634450
0.00    -6.20  4.10   -3648.48768830
0.00    -6.20  4.30   -3648.49625230
0.00    -6.20  4.50   -3648.50272500
0.00    -6.20  5.00   -3648.51222260
0.00    -6.20  5.50   -3648.51651430
0.00    -6.20  6.00   -3648.51832890
0.00    -6.20  6.50   -3648.51894290
0.00    -6.20  7.00   -3648.51882570
0.00    -6.20  7.50   -3648.51837720
0.00    -6.20  8.00   -3648.51775110
0.00    -6.20  8.50   -3648.51707490
0.00    -6.20  9.00   -3648.51642320
0.00    -6.20  10.00  -3648.51522970
0.00    -6.20  12.00  -3648.51347590
0.00    -6.20  15.00  -3648.51229400
0.00    -6.20  25.00  -3648.51171980
0.00    -6.20  35.00  -3648.51157260
0.00    -6.00  2.50   -3648.09210510
0.00    -6.00  2.90   -3648.27204550
0.00    -6.00  3.10   -3648.33939170
0.00    -6.00  3.30   -3648.39223760
0.00    -6.00  3.50   -3648.43171010
0.00    -6.00  3.70   -3648.45922280
0.00    -6.00  3.90   -3648.47630730
0.00    -6.00  4.10   -3648.48691590
0.00    -6.00  4.30   -3648.49502940
0.00    -6.00  4.50   -3648.50122460
0.00    -6.00  5.00   -3648.51059910
0.00    -6.00  5.50   -3648.51513170
0.00    -6.00  6.00   -3648.51724910
0.00    -6.00  6.50   -3648.51815260
0.00    -6.00  7.00   -3648.51825970
0.00    -6.00  7.50   -3648.51797110
0.00    -6.00  8.00   -3648.51746840
0.00    -6.00  8.50   -3648.51687560
0.00    -6.00  9.00   -3648.51628220
0.00    -6.00  10.00  -3648.51516850
0.00    -6.00  12.00  -3648.51345310
0.00    -6.00  15.00  -3648.51228630
0.00    -6.00  25.00  -3648.51171730
0.00    -6.00  35.00  -3648.51157350
0.00    -5.80  2.50   -3648.11314400
0.00    -5.80  2.90   -3648.28231100
0.00    -5.80  3.10   -3648.34631910
0.00    -5.80  3.30   -3648.39676410
0.00    -5.80  3.50   -3648.43448790
0.00    -5.80  3.70   -3648.46067060
0.00    -5.80  3.90   -3648.47666480
0.00    -5.80  4.10   -3648.48652020
0.00    -5.80  4.30   -3648.49412290
0.00    -5.80  4.50   -3648.50004160
0.00    -5.80  5.00   -3648.50920780
0.00    -5.80  5.50   -3648.51387980
0.00    -5.80  6.00   -3648.51624830
0.00    -5.80  6.50   -3648.51737240
